x,y,z
3600,-2000,0
4550,-1950,0
6300,-1280,0
6300,1280,0
4550,1950,0
3600,2000,0
3600,-2000,0
3600,-2000,20
4607.96,-1948.16,20
6300,-1300.3,20
6300,1300.3,20
4607.96,1948.16,20
3600,2000,20
3600,-2000,20
3600,-2000,40
4660.4,-1942.72,40
6300,-1320.02,40
6300,1320.02,40
4660.4,1942.72,40
3600,2000,40
3600,-2000,40
3600,-2000,60
4702.31,-1933.99,60
6300,-1338.58,60
6300,1338.58,60
4702.31,1933.99,60
3600,2000,60
3600,-2000,60
3600,-2000,80
4729.7,-1922.41,80
6300,-1355.46,80
6300,1355.46,80
4729.7,1922.41,80
3600,2000,80
3600,-2000,80
3600,-2000,100
4739.96,-1908.59,100
6300,-1370.15,100
6300,1370.15,100
4739.96,1908.59,100
3600,2000,100
3600,-2000,100
3600,-2000,120
4732.11,-1893.27,120
6300,-1382.25,120
6300,1382.25,120
4732.11,1893.27,120
3600,2000,120
3600,-2000,120
3600,-2000,140
4706.9,-1877.26,140
6300,-1391.4,140
6300,1391.4,140
4706.9,1877.26,140
3600,2000,140
3600,-2000,140
3600,-2000,160
4666.73,-1861.38,160
6300,-1397.34,160
6300,1397.34,160
4666.73,1861.38,160
3600,2000,160
3600,-2000,160
3600,-2000,180
4615.43,-1846.49,180
6300,-1399.9,180
6300,1399.9,180
4615.43,1846.49,180
3600,2000,180
3600,-2000,180
3600,-2000,200
4557.9,-1833.36,200
6300,-1399,200
6300,1399,200
4557.9,1833.36,200
3600,2000,200
3600,-2000,200
3600,-2000,220
4499.61,-1822.69,220
6300,-1394.67,220
6300,1394.67,220
4499.61,1822.69,220
3600,2000,220
3600,-2000,220
3600,-2000,240
4446.13,-1815.03,240
6300,-1387.03,240
6300,1387.03,240
4446.13,1815.03,240
3600,2000,240
3600,-2000,240
3600,-2000,260
4402.55,-1810.8,260
6300,-1376.31,260
6300,1376.31,260
4402.55,1810.8,260
3600,2000,260
3600,-2000,260
3600,-2000,280
4373.02,-1810.22,280
6300,-1362.81,280
6300,1362.81,280
4373.02,1810.22,280
3600,2000,280
3600,-2000,280
3600,-2000,300
4360.37,-1813.3,300
6300,-1346.92,300
6300,1346.92,300
4360.37,1813.3,300
3600,2000,300
3600,-2000,300
3600,-2000,320
4365.79,-1819.9,320
6300,-1329.11,320
6300,1329.11,320
4365.79,1819.9,320
3600,2000,320
3600,-2000,320
3600,-2000,340
4388.78,-1829.67,340
6300,-1309.87,340
6300,1309.87,340
4388.78,1829.67,340
3600,2000,340
3600,-2000,340
3600,-2000,360
4427.14,-1842.09,360
6300,-1289.78,360
6300,1289.78,360
4427.14,1842.09,360
3600,2000,360
3600,-2000,360
3600,-2000,380
4477.2,-1856.5,380
6300,-1269.4,380
6300,1269.4,380
4477.2,1856.5,380
3600,2000,380
3600,-2000,380
3600,-2000,400
4534.21,-1872.15,400
6300,-1249.34,400
6300,1249.34,400
4534.21,1872.15,400
3600,2000,400
3600,-2000,400
3600,-2000,420
4592.73,-1888.21,420
6300,-1230.15,420
6300,1230.15,420
4592.73,1888.21,420
3600,2000,420
3600,-2000,420
3600,-2000,440
4647.17,-1903.85,440
6300,-1212.4,440
6300,1212.4,440
4647.17,1903.85,440
3600,2000,440
3600,-2000,440
3600,-2000,460
4692.34,-1918.22,460
6300,-1196.6,460
6300,1196.6,460
4692.34,1918.22,460
3600,2000,460
3600,-2000,460
3600,-2000,480
4723.95,-1930.58,480
6300,-1183.21,480
6300,1183.21,480
4723.95,1930.58,480
3600,2000,480
3600,-2000,480
3600,-2000,500
4738.97,-1940.28,500
6300,-1172.6,500
6300,1172.6,500
4738.97,1940.28,500
3600,2000,500
3600,-2000,500
3600,-2000,520
4735.98,-1946.81,520
6300,-1165.09,520
6300,1165.09,520
4735.98,1946.81,520
3600,2000,520
3600,-2000,520
3600,-2000,540
4715.26,-1949.81,540
6300,-1160.9,540
6300,1160.9,540
4715.26,1949.81,540
3600,2000,540
3600,-2000,540
3600,-2000,560
4678.78,-1949.14,560
6300,-1160.14,560
6300,1160.14,560
4678.78,1949.14,560
3600,2000,560
3600,-2000,560
3600,-2000,580
4630.03,-1944.83,580
6300,-1162.83,580
6300,1162.83,580
4630.03,1944.83,580
3600,2000,580
3600,-2000,580
3600,-2000,600
4573.65,-1937.1,600
6300,-1168.9,600
6300,1168.9,600
4573.65,1937.1,600
3600,2000,600
3600,-2000,600
3600,-2000,620
4515.01,-1926.37,620
6300,-1178.18,620
6300,1178.18,620
4515.01,1926.37,620
3600,2000,620
3600,-2000,620
3600,-2000,640
4459.71,-1913.19,640
6300,-1190.39,640
6300,1190.39,640
4459.71,1913.19,640
3600,2000,640
3600,-2000,640
3600,-2000,660
4413.01,-1898.26,660
6300,-1205.18,660
6300,1205.18,660
4413.01,1898.26,660
3600,2000,660
3600,-2000,660
3600,-2000,680
4379.38,-1882.38,680
6300,-1222.13,680
6300,1222.13,680
4379.38,1882.38,680
3600,2000,680
3600,-2000,680
3600,-2000,700
4362.01,-1866.37,700
6300,-1240.75,700
6300,1240.75,700
4362.01,1866.37,700
3600,2000,700
3600,-2000,700
3600,-2000,720
4362.56,-1851.07,720
6300,-1260.5,720
6300,1260.5,720
4362.56,1851.07,720
3600,2000,720
3600,-2000,720
3600,-2000,740
4380.98,-1837.3,740
6300,-1280.82,740
6300,1280.82,740
4380.98,1837.3,740
3600,2000,740
3600,-2000,740
3600,-2000,760
4415.52,-1825.78,760
6300,-1301.11,760
6300,1301.11,760
4415.52,1825.78,760
3600,2000,760
3600,-2000,760
3600,-2000,780
4462.87,-1817.11,780
6300,-1320.79,780
6300,1320.79,780
4462.87,1817.11,780
3600,2000,780
3600,-2000,780
3600,-2000,800
4518.54,-1811.76,800
6300,-1339.29,800
6300,1339.29,800
4518.54,1811.76,800
3600,2000,800
3600,-2000,800
3600,-2000,820
4577.2,-1810,820
6300,-1356.09,820
6300,1356.09,820
4577.2,1810,820
3600,2000,820
3600,-2000,820
3600,-2000,840
4633.26,-1811.93,840
6300,-1370.69,840
6300,1370.69,840
4633.26,1811.93,840
3600,2000,840
3600,-2000,840
3600,-2000,860
4681.39,-1817.44,860
6300,-1382.68,860
6300,1382.68,860
4681.39,1817.44,860
3600,2000,860
3600,-2000,860
3600,-2000,880
4717,-1826.25,880
6300,-1391.71,880
6300,1391.71,880
4717,1826.25,880
3600,2000,880
3600,-2000,880
3600,-2000,900
4736.68,-1837.88,900
6300,-1397.51,900
6300,1397.51,900
4736.68,1837.88,900
3600,2000,900
3600,-2000,900
3600,-2000,920
4738.57,-1851.74,920
6300,-1399.93,920
6300,1399.93,920
4738.57,1851.74,920
3600,2000,920
3600,-2000,920
3600,-2000,940
4722.48,-1867.08,940
6300,-1398.89,940
6300,1398.89,940
4722.48,1867.08,940
3600,2000,940
3600,-2000,940
3600,-2000,960
4689.95,-1883.11,960
6300,-1394.42,960
6300,1394.42,960
4689.95,1883.11,960
3600,2000,960
3600,-2000,960
3600,-2000,980
4644.07,-1898.97,980
6300,-1386.66,980
6300,1386.66,980
4644.07,1898.97,980
3600,2000,980
3600,-2000,980
3600,-2000,1000
4589.23,-1913.83,1000
6300,-1375.82,1000
6300,1375.82,1000
4589.23,1913.83,1000
3600,2000,1000
3600,-2000,1000
3600,-2000,1020
4530.65,-1926.91,1020
6300,-1362.22,1020
6300,1362.22,1020
4530.65,1926.91,1020
3600,2000,1020
3600,-2000,1020
3600,-2000,1040
4473.91,-1937.52,1040
6300,-1346.24,1040
6300,1346.24,1040
4473.91,1937.52,1040
3600,2000,1040
3600,-2000,1040
3600,-2000,1060
4424.43,-1945.1,1060
6300,-1328.36,1060
6300,1328.36,1060
4424.43,1945.1,1060
3600,2000,1060
3600,-2000,1060
3600,-2000,1080
4386.91,-1949.25,1080
6300,-1309.08,1080
6300,1309.08,1080
4386.91,1949.25,1080
3600,2000,1080
3600,-2000,1080
3600,-2000,1100
4364.95,-1949.76,1100
6300,-1288.96,1100
6300,1288.96,1100
4364.95,1949.76,1100
3600,2000,1100
3600,-2000,1100
3600,-2000,1120
4360.63,-1946.59,1120
6300,-1268.59,1120
6300,1268.59,1120
4360.63,1946.59,1120
3600,2000,1120
3600,-2000,1120
3600,-2000,1140
4374.36,-1939.91,1140
6300,-1248.55,1140
6300,1248.55,1140
4374.36,1939.91,1140
3600,2000,1140
3600,-2000,1140
3600,-2000,1160
4404.83,-1930.08,1160
6300,-1229.41,1160
6300,1229.41,1160
4404.83,1930.08,1160
3600,2000,1160
3600,-2000,1160
3600,-2000,1180
4449.15,-1917.61,1180
6300,-1211.73,1180
6300,1211.73,1180
4449.15,1917.61,1180
3600,2000,1180
3600,-2000,1180
3600,-2000,1200
4503.08,-1903.16,1200
6300,-1196.02,1200
6300,1196.02,1200
4503.08,1903.16,1200
3600,2000,1200
3600,-2000,1200
3600,-2000,1220
4561.48,-1887.49,1220
6300,-1182.72,1220
6300,1182.72,1220
4561.48,1887.49,1220
3600,2000,1220
3600,-2000,1220
3600,-2000,1240
4618.79,-1871.42,1240
6300,-1172.24,1240
6300,1172.24,1240
4618.79,1871.42,1240
3600,2000,1240
3600,-2000,1240
3600,-2000,1260
4669.54,-1855.81,1260
6300,-1164.86,1260
6300,1164.86,1260
4669.54,1855.81,1260
3600,2000,1260
3600,-2000,1260
3600,-2000,1280
4708.89,-1841.47,1280
6300,-1160.8,1280
6300,1160.8,1280
4708.89,1841.47,1280
3600,2000,1280
3600,-2000,1280
3600,-2000,1300
4733.1,-1829.16,1300
6300,-1160.18,1300
6300,1160.18,1300
4733.1,1829.16,1300
3600,2000,1300
3600,-2000,1300
3600,-2000,1320
4739.85,-1819.53,1320
6300,-1163.01,1320
6300,1163.01,1320
4739.85,1819.53,1320
3600,2000,1320
3600,-2000,1320
3600,-2000,1340
4728.5,-1813.08,1340
6300,-1169.21,1340
6300,1169.21,1340
4728.5,1813.08,1340
3600,2000,1340
3600,-2000,1340
3600,-2000,1360
4700.14,-1810.16,1360
6300,-1178.61,1360
6300,1178.61,1360
4700.14,1810.16,1360
3600,2000,1360
3600,-2000,1360
3600,-2000,1380
4657.46,-1810.92,1380
6300,-1190.93,1380
6300,1190.93,1380
4657.46,1810.92,1380
3600,2000,1380
3600,-2000,1380
3600,-2000,1400
4604.54,-1815.31,1400
6300,-1205.82,1400
6300,1205.82,1400
4604.54,1815.31,1400
3600,2000,1400
3600,-2000,1400
3600,-2000,1420
4546.42,-1823.11,1420
6300,-1222.85,1420
6300,1222.85,1420
4546.42,1823.11,1420
3600,2000,1420
3600,-2000,1420
3600,-2000,1440
4488.64,-1833.91,1440
6300,-1241.53,1440
6300,1241.53,1440
4488.64,1833.91,1440
3600,2000,1440
3600,-2000,1440
3600,-2000,1460
4436.71,-1847.13,1460
6300,-1261.31,1460
6300,1261.31,1460
4436.71,1847.13,1460
3600,2000,1460
3600,-2000,1460
3600,-2000,1480
4395.58,-1862.09,1480
6300,-1281.64,1480
6300,1281.64,1480
4395.58,1862.09,1480
3600,2000,1480
3600,-2000,1480
3600,-2000,1500
4369.17,-1877.99,1500
6300,-1301.91,1500
6300,1301.91,1500
4369.17,1877.99,1500
3600,2000,1500
3600,-2000,1500
3600,-2000,1520
4360,-1893.99,1520
6300,-1321.56,1520
6300,1321.56,1520
4360,1893.99,1520
3600,2000,1520
3600,-2000,1520
3600,-2000,1540
4368.94,-1909.26,1540
6300,-1340,1540
6300,1340,1540
4368.94,1909.26,1540
3600,2000,1540
3600,-2000,1540
3600,-2000,1560
4395.15,-1922.99,1560
6300,-1356.72,1560
6300,1356.72,1560
4395.15,1922.99,1560
3600,2000,1560
3600,-2000,1560
3600,-2000,1580
4436.12,-1934.45,1580
6300,-1371.22,1580
6300,1371.22,1580
4436.12,1934.45,1580
3600,2000,1580
3600,-2000,1580
3600,-2000,1600
4487.94,-1943.04,1600
6300,-1383.1,1600
6300,1383.1,1600
4487.94,1943.04,1600
3600,2000,1600
3600,-2000,1600
3600,-2000,1620
4545.68,-1948.32,1620
6300,-1392,1620
6300,1392,1620
4545.68,1948.32,1620
3600,2000,1620
3600,-2000,1620
3600,-2000,1640
4603.83,-1950,1640
