电缸2行程%,臂2角度deg,A-1角度deg_锚点到公共点,A-2角度deg_锚点到公共点,rate_臂2角度deg,rate_A-1角度deg_锚点到公共点,rate_A-2角度deg_锚点到公共点,acc_臂2角度deg,acc_A-1角度deg_锚点到公共点,acc_A-2角度deg_锚点到公共点,rate_rss_A1A2,d_rate_rss_A1A2,acc_rss_A1A2,acc_abs_sum_A1A2
33,120.6,-32.791,-155.745,-1.8000000000000043,1.5740000000000016,0.07800000000000296,3.552713678800501e-15,-0.005250000000001975,0.021000000000000796,1.5759314705912835,-0.004196566464475748,0.021646304534493968,0.02625000000000277
34,118.8,-31.22,-155.656,-1.7999999999999972,1.5679999999999978,0.09950000000000614,3.552713678800501e-15,-0.00575000000000081,0.021999999999998465,1.5711537957819388,-0.004337913877846544,0.022739008333697002,0.027749999999999275
35,117.0,-29.655,-155.546,-1.7999999999999972,1.5625,0.12199999999999989,0.0,-0.0062499999999987566,0.02324999999999733,1.5672556428355904,-0.00440850215289279,0.02407540238500408,0.029499999999996085
36,115.2,-28.095,-155.412,-1.7999999999999972,1.5555000000000003,0.1460000000000008,-3.552713678800501e-15,-0.007249999999999979,0.02475000000000449,1.5623367914761532,-0.004892267779719184,0.0257900174486219,0.03200000000000447
37,113.4,-26.544,-155.254,-1.8000000000000043,1.548,0.17150000000000887,-3.552713678800501e-15,-0.007749999999999702,0.02674999999999983,1.557471107276152,-0.0047341985906295125,0.027850044883266995,0.03449999999999953
38,111.6,-24.999,-155.069,-1.8000000000000043,1.540000000000001,0.19950000000000045,3.552713678800501e-15,-0.008750000000000036,0.028499999999993975,1.5528683942948942,-0.005003930269869894,0.02981295859185494,0.03724999999999401
39,109.8,-23.464,-154.855,-1.7999999999999972,1.5305,0.22849999999999682,3.552713678800501e-15,-0.00975000000000037,0.030249999999995225,1.5474632467364122,-0.005149513972681263,0.03178246371821603,0.039999999999995595
40,108.0,-21.938,-154.612,-1.7999999999999972,1.5205000000000002,0.2599999999999909,0.0,-0.010500000000000398,0.03300000000000125,1.5425693663495317,-0.004751698402671534,0.0346301891418469,0.04350000000000165
41,106.2,-20.423,-154.335,-1.7999999999999972,1.5094999999999992,0.2944999999999993,-3.552713678800501e-15,-0.011500000000000732,0.035000000000003695,1.5379598499310692,-0.004569897547151314,0.03684087403958103,0.04650000000000443
42,104.4,-18.919,-154.023,-1.8000000000000043,1.4974999999999987,0.3299999999999983,-3.552713678800501e-15,-0.01249999999999929,0.03725000000000023,1.533429571255229,-0.004143136820507931,0.03929137946165799,0.04974999999999952
43,102.6,-17.428,-153.675,-1.8000000000000043,1.4845000000000006,0.3689999999999998,3.552713678800501e-15,-0.01349999999999918,0.040500000000001535,1.5296735762900533,-0.0032864572954779403,0.04269074841227432,0.054000000000000714
44,100.8,-15.95,-153.285,-1.7999999999999972,1.4705000000000004,0.41100000000000136,3.552713678800501e-15,-0.014750000000000263,0.043250000000000455,1.5268566566642732,-0.002520375820065479,0.04569600639005609,0.05800000000000072
45,99.0,-14.487,-152.853,-1.7999999999999972,1.455,0.4555000000000007,0.0,-0.01625000000000032,0.04625000000000057,1.5246328246499223,-0.0016284448325389889,0.04902167887781959,0.06250000000000089
46,97.2,-13.04,-152.374,-1.7999999999999972,1.4379999999999997,0.5035000000000025,-3.552713678800501e-15,-0.01750000000000007,0.049500000000001876,1.5235997669991952,-0.00010413054251623421,0.052502380898395345,0.06700000000000195
47,95.4,-11.611,-151.846,-1.8000000000000043,1.42,0.5545000000000044,-3.552713678800501e-15,-0.018499999999999517,0.05275000000000318,1.5244245635648899,0.00201979417308662,0.055900022361357944,0.0712500000000027
48,93.6,-10.2,-151.265,-1.8000000000000043,1.4010000000000007,0.6090000000000089,3.552713678800501e-15,-0.019750000000000156,0.055999999999997385,1.5276393553453684,0.004273611760286511,0.05938065762518729,0.07574999999999754
49,91.8,-8.809,-150.628,-1.7999999999999972,1.3804999999999996,0.6664999999999992,3.552713678800501e-15,-0.021000000000000574,0.05899999999999039,1.532971787085463,0.006798580610881122,0.06262587324739585,0.07999999999999097
50,90.0,-7.439,-149.932,-1.7999999999999972,1.3589999999999995,0.7269999999999897,0.0,-0.02224999999999988,0.062249999999998806,1.5412365165671307,0.009815755302611806,0.06610692096898664,0.08449999999999869
51,88.2,-6.091,-149.174,-1.7999999999999972,1.3359999999999999,0.7909999999999968,-3.552713678800501e-15,-0.02324999999999977,0.06525000000000603,1.5526032976906865,0.013276265871311477,0.0692684993341185,0.0885000000000058
52,86.4,-4.767,-148.35,-1.8000000000000043,1.3125,0.8575000000000017,-3.552713678800501e-15,-0.0239999999999998,0.06774999999999665,1.5677890483097536,0.017005708047302504,0.0718753260862136,0.09174999999999645
53,84.6,-3.466,-147.459,-1.8000000000000043,1.2880000000000003,0.9264999999999901,3.552713678800501e-15,-0.025249999999999995,0.07025000000000148,1.5866147137852915,0.020569272420209783,0.07465001674480862,0.09550000000000147
54,82.8,-2.191,-146.497,-1.7999999999999972,1.262,0.9980000000000047,3.552713678800501e-15,-0.026000000000000134,0.07200000000000983,1.6089275931501732,0.02426010974237458,0.07655063683602785,0.09800000000000997
55,81.0,-0.942,-145.463,-1.7999999999999972,1.236,1.0705000000000098,0.0,-0.026000000000000023,0.07324999999999449,1.6351349332700407,0.028299712771952645,0.0777274887025124,0.09924999999999451
56,79.2,0.281,-144.356,-1.7999999999999972,1.21,1.1444999999999936,-3.552713678800501e-15,-0.026000000000000023,0.07424999999999216,1.6655270186940785,0.0321114433068449,0.07867059488779042,0.10024999999999218
57,77.4,1.478,-143.174,-1.8000000000000043,1.184,1.218999999999994,-3.552713678800501e-15,-0.026000000000000023,0.07425000000000637,1.6993578198837305,0.03510932119900578,0.07867059488780383,0.10025000000000639
58,75.6,2.649,-141.918,-1.8000000000000043,1.158,1.2930000000000064,3.552713678800501e-15,-0.02575000000000005,0.07375000000000398,1.73574566109209,0.037715942984384965,0.07811609949300201,0.09950000000000403
59,73.8,3.794,-140.588,-1.7999999999999972,1.1324999999999998,1.366500000000002,3.552713678800501e-15,-0.025000000000000022,0.07324999999999449,1.7747897058525004,0.04039808856344429,0.07739872414968604,0.09824999999999451
60,72.0,4.914,-139.185,-1.7999999999999972,1.1079999999999999,1.4394999999999953,0.0,-0.024249999999999883,0.07175000000000153,1.8165418382189786,0.04200764330452922,0.07573721014138436,0.09600000000000142
61,70.2,6.01,-137.709,-1.7999999999999972,1.084,1.5100000000000051,-3.552713678800501e-15,-0.023749999999999827,0.069500000000005,1.8588049924615588,0.04256062485610945,0.07344598355254484,0.09325000000000483
62,68.4,7.082,-136.165,-1.8000000000000043,1.0605000000000002,1.5785000000000053,-3.552713678800501e-15,-0.022499999999999964,0.06749999999999545,1.9016630879311975,0.043421485792688674,0.07115124735378421,0.08999999999999542
63,66.6,8.131,-134.552,-1.8000000000000043,1.0390000000000001,1.644999999999996,3.552713678800501e-15,-0.020500000000000185,0.06474999999999653,1.9456479640469362,0.04373422183372666,0.06791768915385415,0.08524999999999672
64,64.8,9.16,-132.875,-1.7999999999999972,1.0194999999999999,1.7079999999999984,3.552713678800501e-15,-0.01925000000000021,0.06200000000000472,1.9891315315986509,0.0433405285258841,0.06491966189068296,0.08125000000000493
65,63.0,10.17,-131.136,-1.7999999999999972,1.0004999999999997,1.7690000000000055,-1.7763568394002505e-15,-0.0182500000000001,0.05924999999999869,2.0323290210987044,0.042544552585365825,0.06199697573269077,0.07749999999999879
66,61.2,11.161,-129.337,-1.8000000000000007,0.9829999999999997,1.8264999999999958,-1.7763568394002505e-15,-0.016499999999999737,0.05599999999999383,2.0742206367693825,0.04145277018124993,0.058380219252751185,0.07249999999999357
67,59.4,12.136,-127.483,-1.8000000000000007,0.9675000000000002,1.8809999999999931,0.0,-0.01499999999999968,0.05350000000000321,2.1152345614612043,0.04069198839517574,0.05556302727534142,0.06850000000000289
