电缸2行程%,臂2角度deg,A-1角度deg_锚点到公共点,A-2角度deg_锚点到公共点,A1_A2夹角差deg,rate_臂2角度deg,rate_A-1角度deg_锚点到公共点,rate_A-2角度deg_锚点到公共点,rate_A1_A2夹角差,rate_abs_sum_A1A2,rate_rss_A1A2
21,142.2,-51.899,-155.426,103.52699999999999,-1.7999999999999972,1.6000000000000014,-0.11750000000000682,1.7175000000000011,1.7175000000000082,1.6043086517250995
22,140.4,-50.299,-155.536,105.237,-1.7999999999999972,1.6005000000000003,-0.10350000000001103,1.7040000000000077,1.7040000000000113,1.603843040948834
23,138.6,-48.698,-155.633,106.935,-1.7999999999999972,1.6000000000000014,-0.08950000000000102,1.6895000000000095,1.6895000000000024,1.6025012480494376
24,136.8,-47.099,-155.715,108.61600000000001,-1.7999999999999972,1.5990000000000002,-0.07499999999998863,1.6739999999999924,1.6739999999999888,1.6007579454745802
25,135.0,-45.5,-155.783,110.28299999999999,-1.8000000000000114,1.5984999999999978,-0.06050000000000466,1.658999999999999,1.6590000000000025,1.5996444917543378
26,133.2,-43.902,-155.836,111.93400000000001,-1.7999999999999972,1.5970000000000013,-0.04550000000000409,1.6425000000000054,1.6425000000000054,1.5976480369593313
27,131.4,-42.306,-155.874,113.568,-1.7999999999999972,1.5945,-0.02949999999999875,1.6240000000000023,1.6239999999999988,1.5947728678404332
28,129.6,-40.713,-155.895,115.18200000000002,-1.8000000000000043,1.5919999999999987,-0.013500000000007617,1.6055000000000064,1.6055000000000064,1.5920572382926426
29,127.8,-39.122,-155.901,116.77900000000001,-1.7999999999999972,1.5899999999999999,0.002500000000011937,1.5874999999999844,1.5925000000000118,1.59000196540759
30,126.0,-37.533,-155.89,118.35699999999999,-1.7999999999999972,1.5869999999999997,0.02049999999999841,1.5664999999999978,1.6074999999999982,1.5871323983839531
31,124.2,-35.948,-155.86,119.912,-1.7999999999999972,1.5824999999999996,0.03899999999998727,1.5435000000000159,1.6214999999999868,1.5829804957737152
32,122.4,-34.368,-155.812,121.44400000000002,-1.8000000000000043,1.5785000000000018,0.05750000000000455,1.5210000000000008,1.6360000000000063,1.5795469287108903
33,120.6,-32.791,-155.745,122.95400000000001,-1.8000000000000043,1.5740000000000016,0.07800000000000296,1.4959999999999951,1.6520000000000046,1.5759314705912835
34,118.8,-31.22,-155.656,124.436,-1.7999999999999972,1.5679999999999978,0.09950000000000614,1.4684999999999917,1.667500000000004,1.5711537957819388
35,117.0,-29.655,-155.546,125.89099999999999,-1.7999999999999972,1.5625,0.12199999999999989,1.4405000000000001,1.6844999999999999,1.5672556428355904
36,115.2,-28.095,-155.412,127.31700000000001,-1.7999999999999972,1.5555000000000003,0.1460000000000008,1.4094999999999942,1.7015000000000011,1.5623367914761532
37,113.4,-26.544,-155.254,128.70999999999998,-1.8000000000000043,1.548,0.17150000000000887,1.376499999999993,1.719500000000009,1.557471107276152
38,111.6,-24.999,-155.069,130.07,-1.8000000000000043,1.540000000000001,0.19950000000000045,1.3405000000000058,1.7395000000000014,1.5528683942948942
39,109.8,-23.464,-154.855,131.391,-1.7999999999999972,1.5305,0.22849999999999682,1.3020000000000067,1.7589999999999968,1.5474632467364122
40,108.0,-21.938,-154.612,132.674,-1.7999999999999972,1.5205000000000002,0.2599999999999909,1.2605000000000075,1.780499999999991,1.5425693663495317
41,106.2,-20.423,-154.335,133.912,-1.7999999999999972,1.5094999999999992,0.2944999999999993,1.2149999999999892,1.8039999999999985,1.5379598499310692
